industry_code	industry_name
8082	Home health care services
81__	Legal services
811_	Legal services
8111	Legal services
871_	Engineering, architectural, and surveying services
8711	Engineering design, analysis, and consulting services
8712	Architectural services
872_	Accounting, auditing, and bookkeeping services
8721	Accounting, auditing and bookkeeping
9331	Premiums for property and casualty insurance
9834	Pharmaceutical preparations
ACR2	Crude processors
ACR3	Crude processors
ACRD	Crude processors
AFIN	Finished processors
APR2	Primary processors
APRI	Primary processors
ASEM	Semifinished processors
BBLD	Non-residential buildings
BCON	Inputs to construction industries
BFD1	Final demand
BFD2	Final demand
BFIN	Finished processors
BGFI	Capital investment
BHVY	Other heavy construction
BHWY	Highway and street construction
BMNR	Non-residential
BMRP	Maintenance and repair construction
BMRS	Residential
BNEW	New construction
BPC2	Consumers
BPCE	Consumers
BPRI	Primary processors
BRS1	Single-unit residential
BRSM	Multi-unit residential
BSEM	Semifinished processors
BWAT	Water and sewer supply construction
OMFG	Total manufacturing industries
OMIN	Total mining industries
WINE	Wine
