estimate_code	estimate_text	display_level	selectable	sort_sequence
00768	Percent of workers exposed to extreme heat	0	T	88	
00769	Percent of workers where fine manipulation is required	0	T	557	
00770	Percent of workers where foot/leg controls is required	0	T	507	
00771	Percent of workers where gross manipulation is required	0	T	532	
00772	Percent of workers not exposed to hazardous contaminants	0	T	259	
00785	Percent of workers exposed to hazardous contaminants, mode	0	T	249	
00786	Percent of workers exposed to hazardous contaminants	0	T	250	
00787	Percent of workers exposed to hazardous contaminants, fully mitigated	0	T	264	
00788	Percent of workers that utilize personal protective equipment for hazardous contaminants	0	T	251	
00789	Percent of workers that do not utilize personal protective equipment for hazardous contaminants	0	T	252	
00791	Percent of workers exposed to heavy vibrations	0	T	151	
00792	Percent of workers exposed to high, exposed places	0	T	172	
00793	Percent of workers exposed to high, exposed places, fully mitigated	0	T	188	
00794	Percent of workers that utilize personal protective equipment for high, exposed places	0	T	173	
00795	Percent of workers that do not utilize personal protective equipment for high, exposed places	0	T	174	
00797	Percent of workers exposed to humidity	0	T	130	
00798	Percent of workers where 10-key pad keyboarding is required	0	T	368	
00799	Percent of workers where other keyboarding is required	0	T	389	
00800	Percent of workers where touchpad keyboarding is required	0	T	347	
00801	Percent of workers where traditional keyboarding is required	0	T	326	
00802	Percent of workers where kneeling is required	0	T	649	
00803	Percent of workers where minimum education level is a high school vocational degree	0	T	884	
00804	Percent of workers where minimum education level is an associate's vocational degree	0	T	885	
00806	Percent of workers that utilize personal protective equipment for noise intensity level	0	T	214	
00807	Percent of workers that do not utilize personal protective equipment for noise intensity level	0	T	215	
00809	Percent of workers where frequency of contact with other contacts is ongoing	0	T	22	
00810	Percent of workers where frequency of contact with other contacts is several times an hour	0	T	23	
00811	Percent of workers where frequency of contact with other contacts is hourly or semi-hourly	0	T	24	
00812	Percent of workers where frequency of contact with other contacts is daily or less	0	T	25	
00814	Percent of workers where frequency of contact with other contacts, mode	0	T	21	
00815	Percent of workers exposed to outdoors	0	T	229	
00816	Percent of workers where pace of work is slow pace	0	T	27	
00817	Percent of workers where pace of work is moderate pace	0	T	28	
00818	Percent of workers where pace of work is fast pace	0	T	29	
00819	Percent of workers where pace of work is variable pace	0	T	30	
00821	Percent of workers where pace of work, mode	0	T	26	
00822	Percent of workers in proximity to moving mechanical parts	0	T	196	
00823	Percent of workers in proximity to moving mechanical parts, fully mitigated	0	T	212	
00824	Percent of workers that utilize personal protective equipment for proximity to moving mechanical parts	0	T	197	
00825	Percent of workers that do not utilize personal protective equipment for proximity to moving mechanical parts	0	T	198	
00827	Percent of workers where pushing/pulling with feet only is required	0	T	754	
00828	Percent of workers where pushing/pulling with feet/legs is required	0	T	480	
00829	Percent of workers where pushing/pulling with hands/arms is required	0	T	459	
00830	Percent of workers where reaching at/below the shoulder is required	0	T	301	
00831	Percent of workers where reaching overhead is required	0	T	276	
00832	Percent of workers where frequency of contact with regular contacts is ongoing	0	T	40	
00833	Percent of workers where frequency of contact with regular contacts is several times an hour	0	T	41	
00834	Percent of workers where frequency of contact with regular contacts is hourly or semi-hourly	0	T	42	
00835	Percent of workers where frequency of contact with regular contacts is daily or less	0	T	43	
00837	Percent of workers where frequency of contact with regular contacts, mode	0	T	39	
00838	Percent of workers where stooping is required	0	T	628	
00839	Percent of workers where supervision is detailed instruction and frequent review	0	T	53	
00840	Percent of workers where supervision is detailed instruction and review of quality for completed assignments	0	T	54	
00841	Percent of workers where supervision is general instruction and review of broad work objectives	0	T	55	
00842	Percent of workers where supervision is broad objectives provided and review of results only	0	T	56	
00844	Percent of workers where supervision, mode	0	T	52	
00845	Percent of workers exposed to wetness	0	T	109	
00853	Percent of day where climbing ladders, ropes, or scaffolds is required, mean	0	T	608	
00855	Percent of day where climbing ladders, ropes, or scaffolds is required (25th Percentile)	0	T	610	
00856	Percent of day where climbing ladders, ropes, or scaffolds is required (50th Percentile - median)	0	T	611	
00857	Percent of day where climbing ladders, ropes, or scaffolds is required (75th Percentile)	0	T	612	
00858	Percent of day where climbing ladders, ropes, or scaffolds is required (90th Percentile)	0	T	613	
00859	Percent of day where climbing ramps or stairs (work-related) is required, mean	0	T	587	
00860	Percent of day where climbing ramps or stairs (work-related) is required (10th Percentile)	0	T	588	
00861	Percent of day where climbing ramps or stairs (work-related) is required (25th Percentile)	0	T	589	
00862	Percent of day where climbing ramps or stairs (work-related) is required (50th Percentile - median)	0	T	590	
00863	Percent of day where climbing ramps or stairs (work-related) is required (75th Percentile)	0	T	591	
00864	Percent of day where climbing ramps or stairs (work-related) is required (90th Percentile)	0	T	592	
00865	Percent of day where communicating verbally is required, mean	0	T	685	
00866	Percent of day where communicating verbally is required (10th Percentile)	0	T	686	
00867	Percent of day where communicating verbally is required (25th Percentile)	0	T	687	
00868	Percent of day where communicating verbally is required (50th Percentile - median)	0	T	688	
00869	Percent of day where communicating verbally is required (75th Percentile)	0	T	689	
00870	Percent of day where communicating verbally is required (90th Percentile)	0	T	690	
00871	Percent of day where crawling is required, mean	0	T	439	
00872	Percent of day where crawling is required (10th Percentile)	0	T	440	
00873	Percent of day where crawling is required (25th Percentile)	0	T	441	
00874	Percent of day where crawling is required (50th Percentile - median)	0	T	442	
00875	Percent of day where crawling is required (75th Percentile)	0	T	443	
00876	Percent of day where crawling is required (90th Percentile)	0	T	444	
00877	Percent of day where crouching is required, mean	0	T	726	
00878	Percent of day where crouching is required (10th Percentile)	0	T	727	
00879	Percent of day where crouching is required (25th Percentile)	0	T	728	
00880	Percent of day where crouching is required (50th Percentile - median)	0	T	729	
00881	Percent of day where crouching is required (75th Percentile)	0	T	730	
00882	Percent of day where crouching is required (90th Percentile)	0	T	731	
00887	Percent of day exposed to high, exposed places (75th Percentile)	0	T	179	
00889	Percent of day exposed to extreme cold, mean	0	T	68	
00890	Percent of day exposed to extreme cold (10th Percentile)	0	T	69	
00891	Percent of day exposed to extreme cold (25th Percentile)	0	T	70	
00892	Percent of day exposed to extreme cold (50th Percentile - median)	0	T	71	
00893	Percent of day exposed to extreme cold (75th Percentile)	0	T	72	
00894	Percent of day exposed to extreme cold (90th Percentile)	0	T	73	
00901	Percent of day where fine manipulation is required, mean	0	T	558	
00902	Percent of day where fine manipulation is required (10th Percentile)	0	T	559	
00903	Percent of day where fine manipulation is required (25th Percentile)	0	T	560	
00904	Percent of day where fine manipulation is required (50th Percentile - median)	0	T	561	
00905	Percent of day where fine manipulation is required (75th Percentile)	0	T	562	
00906	Percent of day where fine manipulation is required (90th Percentile)	0	T	563	
00907	Percent of day where foot/leg controls is required, mean	0	T	508	
00908	Percent of day where foot/leg controls is required (10th Percentile)	0	T	509	
00909	Percent of day where foot/leg controls is required (25th Percentile)	0	T	510	
00910	Percent of day where foot/leg controls is required (50th Percentile - median)	0	T	511	
00911	Percent of day where foot/leg controls is required (75th Percentile)	0	T	512	
00912	Percent of day where foot/leg controls is required (90th Percentile)	0	T	513	
00913	Percent of day where gross manipulation is required, mean	0	T	533	
00914	Percent of day where gross manipulation is required (10th Percentile)	0	T	534	
00915	Percent of day where gross manipulation is required (25th Percentile)	0	T	535	
00916	Percent of day where gross manipulation is required (50th Percentile - median)	0	T	536	
00917	Percent of day where gross manipulation is required (75th Percentile)	0	T	537	
00918	Percent of day where gross manipulation is required (90th Percentile)	0	T	538	
00925	Percent of day where 10-key pad keyboarding is required, mean	0	T	369	
00927	Percent of day where 10-key pad keyboarding is required (25th Percentile)	0	T	371	
00928	Percent of day where 10-key pad keyboarding is required (50th Percentile - median)	0	T	372	
00929	Percent of day where 10-key pad keyboarding is required (75th Percentile)	0	T	373	
00930	Percent of day where 10-key pad keyboarding is required (90th Percentile)	0	T	374	
00937	Percent of day where traditional keyboarding is required, mean	0	T	327	
00938	Percent of day where traditional keyboarding is required (10th Percentile)	0	T	328	
00939	Percent of day where traditional keyboarding is required (25th Percentile)	0	T	329	
00940	Percent of day where traditional keyboarding is required (50th Percentile - median)	0	T	330	
00941	Percent of day where traditional keyboarding is required (75th Percentile)	0	T	331	
00942	Percent of day where traditional keyboarding is required (90th Percentile)	0	T	332	
00943	Percent of day where touchpad keyboarding is required, mean	0	T	348	
00944	Percent of day where touchpad keyboarding is required (10th Percentile)	0	T	349	
00945	Percent of day where touchpad keyboarding is required (25th Percentile)	0	T	350	
00946	Percent of day where touchpad keyboarding is required (50th Percentile - median)	0	T	351	
00947	Percent of day where touchpad keyboarding is required (75th Percentile)	0	T	352	
00948	Percent of day where touchpad keyboarding is required (90th Percentile)	0	T	353	
00949	Percent of day where kneeling is required, mean	0	T	650	
00950	Percent of day where kneeling is required (10th Percentile)	0	T	651	
00951	Percent of day where kneeling is required (25th Percentile)	0	T	652	
00952	Percent of day where kneeling is required (50th Percentile - median)	0	T	653	
00953	Percent of day where kneeling is required (75th Percentile)	0	T	654	
00954	Percent of day where kneeling is required (90th Percentile)	0	T	655	
00961	Percent of day exposed to outdoors, mean	0	T	230	
00962	Percent of day exposed to outdoors (10th Percentile)	0	T	231	
00963	Percent of day exposed to outdoors (25th Percentile)	0	T	232	
00964	Percent of day exposed to outdoors (50th Percentile - median)	0	T	233	
00965	Percent of day exposed to outdoors (75th Percentile)	0	T	234	
00966	Percent of day exposed to outdoors (90th Percentile)	0	T	235	
00973	Percent of day where pushing/pulling with hands/arms is required, mean	0	T	460	
00974	Percent of day where pushing/pulling with hands/arms is required (10th Percentile)	0	T	461	
00975	Percent of day where pushing/pulling with hands/arms is required (25th Percentile)	0	T	462	
00976	Percent of day where pushing/pulling with hands/arms is required (50th Percentile - median)	0	T	463	
00977	Percent of day where pushing/pulling with hands/arms is required (75th Percentile)	0	T	464	
00978	Percent of day where pushing/pulling with hands/arms is required (90th Percentile)	0	T	465	
00979	Percent of day where pushing/pulling with feet/legs is required, mean	0	T	481	
00980	Percent of day where pushing/pulling with feet/legs is required (10th Percentile)	0	T	482	
00981	Percent of day where pushing/pulling with feet/legs is required (25th Percentile)	0	T	483	
00982	Percent of day where pushing/pulling with feet/legs is required (50th Percentile - median)	0	T	484	
00983	Percent of day where pushing/pulling with feet/legs is required (75th Percentile)	0	T	485	
00984	Percent of day where pushing/pulling with feet/legs is required (90th Percentile)	0	T	486	
00985	Percent of day where reaching overhead is required, mean	0	T	277	
00986	Percent of day where reaching overhead is required (10th Percentile)	0	T	278	
00987	Percent of day where reaching overhead is required (25th Percentile)	0	T	279	
00988	Percent of day where reaching overhead is required (50th Percentile - median)	0	T	280	
00989	Percent of day where reaching overhead is required (75th Percentile)	0	T	281	
00990	Percent of day where reaching overhead is required (90th Percentile)	0	T	282	
00991	Percent of day where reaching at/below the shoulder is required, mean	0	T	302	
00992	Percent of day where reaching at/below the shoulder is required (10th Percentile)	0	T	303	
00993	Percent of day where reaching at/below the shoulder is required (25th Percentile)	0	T	304	
00994	Percent of day where reaching at/below the shoulder is required (50th Percentile - median)	0	T	305	
00995	Percent of day where reaching at/below the shoulder is required (75th Percentile)	0	T	306	
00996	Percent of day where reaching at/below the shoulder is required (90th Percentile)	0	T	307	
00997	Percent of day where sitting is required, mean	0	T	806	
00998	Percent of day where sitting is required (10th Percentile)	0	T	807	
00999	Percent of day where sitting is required (25th Percentile)	0	T	808	
01000	Percent of day where sitting is required (50th Percentile - median)	0	T	809	
01001	Percent of day where sitting is required (75th Percentile)	0	T	810	
01002	Percent of day where sitting is required (90th Percentile)	0	T	811	
01003	Percent of day where standing/walking is required, mean	0	T	793	
01004	Percent of day where standing/walking is required (10th Percentile)	0	T	794	
01005	Percent of day where standing/walking is required (25th Percentile)	0	T	795	
01006	Percent of day where standing/walking is required (50th Percentile - median)	0	T	796	
01007	Percent of day where standing/walking is required (75th Percentile)	0	T	797	
01008	Percent of day where standing/walking is required (90th Percentile)	0	T	798	
01009	Percent of day where stooping is required, mean	0	T	629	
01010	Percent of day where stooping is required (10th Percentile)	0	T	630	
01011	Percent of day where stooping is required (25th Percentile)	0	T	631	
01012	Percent of day where stooping is required (50th Percentile - median)	0	T	632	
01013	Percent of day where stooping is required (75th Percentile)	0	T	633	
01014	Percent of day where stooping is required (90th Percentile)	0	T	634	
01021	Percent of day exposed to wetness, mean	0	T	110	
01022	Percent of day exposed to wetness (10th Percentile)	0	T	111	
01023	Percent of day exposed to wetness (25th Percentile)	0	T	112	
01024	Percent of day exposed to wetness (50th Percentile - median)	0	T	113	
01025	Percent of day exposed to wetness (75th Percentile)	0	T	114	
01026	Percent of day exposed to wetness (90th Percentile)	0	T	115	
01027	Percent of workers where any keyboarding is not required	0	T	664	
01029	Percent of workers where minimum education level is a bachelor's degree	0	T	886	
