case_code	category_code	category_text
H	SGX	Source (Floors)	
H	SHX	Source (Hand tools)	
H	SIX	Source (Vehicles)	
H	SJX	Source (Health care patient)	
H	SKX	Source (All other source)	
H	SLX	Source (Person, injured or ill worker)	
H	SMX	Source (Person, other than injured or ill worker)	
H	SP1	Industry - Service producing	
H	TAX	Time (12:01AM - 4:00AM)	
H	TBX	Time (4:01AM - 8:00AM)	
H	TCX	Time (8:01AM - 12Noon)	
H	TDX	Time (12:01PM - 4:00PM)	
H	TEX	Time (4:01PM - 8:00PM)	
H	TFX	Time (8:01PM - 12Midnight)	
H	TGX	Time (not reported)	
H	TRW	Industry - Transportation and warehousing	
H	TTU	Industry - Trade, transportation, and utilities	
H	UTL	Industry - Utilities	
H	WAX	Weekday (Sunday)	
H	WBX	Weekday (Monday)	
H	WCX	Weekday (Tuesday)	
H	WDX	Weekday (Wednesday)	
H	WEX	Weekday (Thursday)	
H	WFX	Weekday (Friday)	
H	WGX	Weekday (Saturday)	
H	WHT	Industry - Wholesale trade	
L	00X	All industry	
L	AAX	Age group (<14 yrs.)	
L	ABX	Age group (14 - 15 yrs.)	
L	ACX	Age group (16 - 19 yrs.)	
L	ADW	Industry - Administration and support and waste management	
L	ADX	Age group (20 - 24 yrs.)	
L	AER	Industry - Arts, entertainment, and recreation	
L	AEX	Age group (25 - 34 yrs.)	
L	AFH	Industry - Agriculture, forestry, fishing, and hunting	
L	AFS	Industry - Accommodation and food services	
L	AFX	Age group (35 - 44 yrs.)	
L	AGX	Age group (45 - 54 yrs.)	
L	AHX	Age group (55 - 64 yrs.)	
L	AIX	Age group (65+ yrs.)	
L	AJX	Age group (not reported)	
L	CON	Industry - Construction	
L	DAX	DAFW (1 day)	
L	DBX	DAFW (2 days)	
L	DCX	DAFW (3 - 5 days)	
L	DDX	DAFW (6 - 10 days)	
L	DEX	DAFW (11 - 20 days)	
L	DFX	DAFW (21 - 30 days)	
L	DGX	DAFW (31+ days)	
L	EAX	Event (Total object contact)	
L	EBX	Event (Struck by object)	
L	ECX	Event (Struck against object)	
L	EDS	Industry - Educational services	
L	EDX	Event (Caught in object)	
L	EEX	Event (Highway accident)	
L	EFX	Event (Assaults by animals)	
L	EGX	Event (Fall to lower level)	
L	EHS	Industry - Education and health services	
L	EHX	Event (Fall at same level)	
L	EIX	Event (Slips or trips)	
L	EJX	Event (Total overexertion)	
L	EKX	Event (Overexertion in lifting)	
L	ELX	Event (Repetitive motion)	
L	EMX	Event (Harmful exposure)	
L	ENX	Event (Transportation accident)	
L	ESX	Event (Fires and explosions)	
L	ETX	Event (Total assaults)	
L	EUX	Event (Assaults by person)	
L	EXX	Event (All other assaults)	
L	EYX	Event (All other events)	
L	FIA	Industry - Financial activities	
L	FIN	Industry - Finance and insurance	
L	GFX	Gender (Female)	
L	GMX	Gender (Male)	
L	GNX	Gender (Not reported)	
L	GP1	Industry - Goods producing	
L	HAS	Industry - Health care and social assistance	
L	HAX	Hours (before shift began)	
L	HBX	Hours (less than 1 hour)	
L	HCX	Hours (1 -2 hours)	
L	HDX	Hours (2 - 4 hours)	
L	HEX	Hours (4 - 6 hours)	
L	HFX	Hours (6 - 8 hours)	
L	HGX	Hours (8 - 10 hours)	
L	HHX	Hours (10 - 12 hours)	
L	HIX	Hours (12 - 16 hours)	
L	HJX	Hours (more than 16 hours)	
L	HKX	Hours (not reported)	
L	INF	Industry - Information	
L	LEH	Industry - Leisure and hospitality	
L	MCE	Industry - Management of companies and enterprises	
L	MFG	Industry - Manufacturing	
L	MIN	Industry - Mining	
L	MSD	Musculoskeletal disorders	
L	NAX	Nature (Sprain, Strains)	
L	NBX	Nature (Fractures)	
L	NCX	Nature (Cuts, lacerations, punctures)	
L	NDX	Nature (Cuts, lacerations)	
L	NEX	Nature (Bruises)	
L	NFX	Nature (Punctures)	
L	NGX	Nature (Heat burns)	
L	NHX	Nature (Chemical burns)	
L	NIX	Nature (Amputations)	
L	NJX	Nature (Carpal Tunnel Syndrome)	
L	NKX	Nature (Tendonitis)	
L	NLX	Nature (Total multiple trauma)	
L	NMX	Nature (With fractures)	
L	NNX	Nature (With sprains)	
L	NOX	Nature (Total back pain, etc)	
L	NPX	Nature (Back pain, hurt back only)	
L	NRM	Industry - Natural resources	
L	NTX	Nature (All other nature)	
L	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
L	O20	Occupation - Professional and Related Occupations (15--29)	
L	O30	Occupation - Service Occupations (31--39)	
L	O41	Occupation - Sales and Related Occupations	
L	O43	Occupation - Office and Administrative Support Occupations	
L	O45	Occupation - Farming, Fishing, and Forestry Occupations	
L	O47	Occupation - Construction and Extraction Occupations	
L	O49	Occupation - Installation, Maintenance, and Repair Occupations	
L	O51	Occupation - Production Occupations	
L	O53	Occupation - Transportation and Material Moving Occupations	
L	OTS	Industry - Other services	
L	PAD	Public Administration	
L	PAX	Part (Total head)	
L	PBS	Industry - Professional business services	
L	PBX	Part (Eyes)	
L	PCX	Part (Neck)	
L	PDX	Part (Total trunk)	
L	PEX	Part (Back)	
L	PFX	Part (Shoulder)	
L	PGX	Part (Total upper)	
L	PHX	Part (Finger)	
L	PIX	Part (Hand)	
L	PJX	Part (Wrist)	
L	PKX	Part (Total lower)	
L	PLX	Part (Knee)	
L	PMX	Part (Foot, toe)	
L	PNX	Part (Body systems)	
L	POX	Part (Multiple)	
L	PPX	Part (All other part)	
L	PQX	Part (Arm)	
L	PRX	Part (Ankle)	
L	PST	Industry - Professional, scientific, and technical services	
L	RAX	Race (American Indian or Alaska native)	
L	RBX	Race (Asian)	
L	RCX	Race (Black or African American)	
L	RDX	Race (Hispanic or Latino)	
L	RET	Industry - Retail trade	
L	REX	Race (Native Hawaiian or Other Pacific Islander)	
L	RFX	Race (White)	
L	RGX	Race (Not reported)	
L	RHX	Race (Multi-race)	
L	RIX	Race (Hispanic and other)	
L	RRL	Industry - Real estate and rental leasing	
L	SAX	Source (Chemicals)	
L	SBX	Source (Containers)	
L	SCX	Source (Furniture)	
L	SDX	Source (Machinery)	
L	SEX	Source (Parts and materials)	
L	SFX	Source (Worker motion)	
L	SGX	Source (Floors)	
L	SHX	Source (Hand tools)	
L	SIX	Source (Vehicles)	
L	SJX	Source (Health care patient)	
L	SKX	Source (All other source)	
L	SLX	Source (Person, injured or ill worker)	
L	SMX	Source (Person, other than injured or ill worker)	
L	SP1	Industry - Service producing	
L	TAX	Time (12:01AM - 4:00AM)	
L	TBX	Time (4:01AM - 8:00AM)	
L	TCX	Time (8:01AM - 12Noon)	
L	TDX	Time (12:01PM - 4:00PM)	
L	TEX	Time (4:01PM - 8:00PM)	
L	TFX	Time (8:01PM - 12Midnight)	
L	TGX	Time (not reported)	
L	TRW	Industry - Transportation and warehousing	
L	TTU	Industry - Trade, transportation, and utilities	
L	UTL	Industry - Utilities	
L	WAX	Weekday (Sunday)	
L	WBX	Weekday (Monday)	
L	WCX	Weekday (Tuesday)	
L	WDX	Weekday (Wednesday)	
L	WEX	Weekday (Thursday)	
L	WFX	Weekday (Friday)	
L	WGX	Weekday (Saturday)	
L	WHT	Industry - Wholesale trade	
M	00X	All industry	
M	AAX	Age group (<14 yrs.)	
M	ABX	Age group (14 - 15 yrs.)	
M	ACX	Age group (16 - 19 yrs.)	
M	ADW	Industry - Administration and support and waste management	
M	ADX	Age group (20 - 24 yrs.)	
M	AER	Industry - Arts, entertainment, and recreation	
M	AEX	Age group (25 - 34 yrs.)	
M	AFH	Industry - Agriculture, forestry, fishing, and hunting	
M	AFS	Industry - Accommodation and food services	
M	AFX	Age group (35 - 44 yrs.)	
M	AGX	Age group (45 - 54 yrs.)	
M	AHX	Age group (55 - 64 yrs.)	
M	AIX	Age group (65+ yrs.)	
M	AJX	Age group (not reported)	
M	CON	Industry - Construction	
M	DAX	DAFW (1 day)	
M	DBX	DAFW (2 days)	
M	DCX	DAFW (3 - 5 days)	
M	DDX	DAFW (6 - 10 days)	
M	DEX	DAFW (11 - 20 days)	
M	DFX	DAFW (21 - 30 days)	
M	DGX	DAFW (31+ days)	
M	EDS	Industry - Educational services	
M	EHS	Industry - Education and health services	
M	EJX	Event (Total overexertion)	
M	EKX	Event (Overexertion in lifting)	
M	ELX	Event (Repetitive motion)	
M	EYX	Event (All other events)	
M	FIA	Industry - Financial activities	
M	FIN	Industry - Finance and insurance	
M	GFX	Gender (Female)	
M	GMX	Gender (Male)	
M	GNX	Gender (Not reported)	
M	GP1	Industry - Goods producing	
M	HAS	Industry - Health care and social assistance	
M	HAX	Hours (before shift began)	
M	HBX	Hours (less than 1 hour)	
M	HCX	Hours (1 -2 hours)	
M	HDX	Hours (2 - 4 hours)	
M	HEX	Hours (4 - 6 hours)	
M	HFX	Hours (6 - 8 hours)	
M	HGX	Hours (8 - 10 hours)	
M	HHX	Hours (10 - 12 hours)	
M	HIX	Hours (12 - 16 hours)	
M	HJX	Hours (more than 16 hours)	
M	HKX	Hours (not reported)	
M	INF	Industry - Information	
M	LAX	LOS (< 3 mos.)	
M	LBX	LOS (3- 11 mos.)	
M	LCX	LOS (1 - 5 yrs.)	
M	LDX	LOS (5 yrs.)	
M	LEH	Industry - Leisure and hospitality	
M	LEX	LOS (Not reported)	
M	MCE	Industry - Management of companies and enterprises	
M	MFG	Industry - Manufacturing	
M	MIN	Industry - Mining	
M	NAX	Nature (Sprain, Strains)	
M	NJX	Nature (Carpal Tunnel Syndrome)	
M	NKX	Nature (Tendonitis)	
M	NOX	Nature (Total back pain, etc)	
M	NPX	Nature (Back pain, hurt back only)	
M	NRM	Industry - Natural resources	
M	NTX	Nature (All other nature)	
M	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
M	O20	Occupation - Professional and Related Occupations (15--29)	
M	O30	Occupation - Service Occupations (31--39)	
M	O41	Occupation - Sales and Related Occupations	
M	O43	Occupation - Office and Administrative Support Occupations	
M	O45	Occupation - Farming, Fishing, and Forestry Occupations	
M	O47	Occupation - Construction and Extraction Occupations	
M	O49	Occupation - Installation, Maintenance, and Repair Occupations	
M	O51	Occupation - Production Occupations	
M	O53	Occupation - Transportation and Material Moving Occupations	
M	OTS	Industry - Other services	
M	PAD	Public Administration	
M	PAX	Part (Total head)	
M	PBS	Industry - Professional business services	
M	PBX	Part (Eyes)	
M	PCX	Part (Neck)	
M	PDX	Part (Total trunk)	
M	PEX	Part (Back)	
M	PFX	Part (Shoulder)	
M	PGX	Part (Total upper)	
M	PHX	Part (Finger)	
M	PIX	Part (Hand)	
M	PJX	Part (Wrist)	
M	PKX	Part (Total lower)	
M	PLX	Part (Knee)	
M	PMX	Part (Foot, toe)	
M	PNX	Part (Body systems)	
M	POX	Part (Multiple)	
M	PPX	Part (All other part)	
M	PQX	Part (Arm)	
M	PRX	Part (Ankle)	
M	PST	Industry - Professional, scientific, and technical services	
M	RAX	Race (American Indian or Alaska native)	
M	RBX	Race (Asian)	
M	RCX	Race (Black or African American)	
M	RDX	Race (Hispanic or Latino)	
M	RET	Industry - Retail trade	
M	REX	Race (Native Hawaiian or Other Pacific Islander)	
M	RFX	Race (White)	
M	RGX	Race (Not reported)	
M	RHX	Race (Multi-race)	
M	RIX	Race (Hispanic and other)	
M	RRL	Industry - Real estate and rental leasing	
M	SAX	Source (Chemicals)	
M	SBX	Source (Containers)	
M	SCX	Source (Furniture)	
M	SDX	Source (Machinery)	
M	SEX	Source (Parts and materials)	
M	SFX	Source (Worker motion)	
M	SGX	Source (Floors)	
M	SHX	Source (Hand tools)	
M	SIX	Source (Vehicles)	
M	SJX	Source (Health care patient)	
M	SKX	Source (All other source)	
M	SLX	Source (Person, injured or ill worker)	
M	SMX	Source (Person, other than injured or ill worker)	
M	SP1	Industry - Service producing	
M	TAX	Time (12:01AM - 4:00AM)	
M	TBX	Time (4:01AM - 8:00AM)	
M	TCX	Time (8:01AM - 12Noon)	
M	TDX	Time (12:01PM - 4:00PM)	
M	TEX	Time (4:01PM - 8:00PM)	
M	TFX	Time (8:01PM - 12Midnight)	
M	TGX	Time (not reported)	
M	TRW	Industry - Transportation and warehousing	
M	TTU	Industry - Trade, transportation, and utilities	
M	UTL	Industry - Utilities	
M	WAX	Weekday (Sunday)	
M	WBX	Weekday (Monday)	
M	WCX	Weekday (Tuesday)	
M	WDX	Weekday (Wednesday)	
M	WEX	Weekday (Thursday)	
M	WFX	Weekday (Friday)	
M	WGX	Weekday (Saturday)	
M	WHT	Industry - Wholesale trade	
N	00X	All industry	
N	AAX	Age group (<14 yrs.)	
N	ABX	Age group (14 - 15 yrs.)	
N	ACX	Age group (16 - 19 yrs.)	
N	ADW	Industry - Administration and support and waste management	
N	ADX	Age group (20 - 24 yrs.)	
N	AER	Industry - Arts, entertainment, and recreation	
N	AEX	Age group (25 - 34 yrs.)	
N	AFH	Industry - Agriculture, forestry, fishing, and hunting	
N	AFS	Industry - Accommodation and food services	
N	AFX	Age group (35 - 44 yrs.)	
N	AGX	Age group (45 - 54 yrs.)	
N	AHX	Age group (55 - 64 yrs.)	
N	AIX	Age group (65+ yrs.)	
N	AJX	Age group (not reported)	
N	CON	Industry - Construction	
N	DAX	DAFW (1 day)	
N	DBX	DAFW (2 days)	
N	DCX	DAFW (3 - 5 days)	
N	DDX	DAFW (6 - 10 days)	
N	DEX	DAFW (11 - 20 days)	
N	DFX	DAFW (21 - 30 days)	
N	DGX	DAFW (31+ days)	
N	EAX	Event (Total object contact)	
N	EBX	Event (Struck by object)	
N	ECX	Event (Struck against object)	
N	EDS	Industry - Educational services	
N	EDX	Event (Caught in object)	
N	EEX	Event (Highway accident)	
N	EFX	Event (Assaults by animals)	
N	EGX	Event (Fall to lower level)	
N	EHS	Industry - Education and health services	
N	EHX	Event (Fall at same level)	
N	EIX	Event (Slips or trips)	
N	EJX	Event (Total overexertion)	
N	EKX	Event (Overexertion in lifting)	
N	ELX	Event (Repetitive motion)	
N	EMX	Event (Harmful exposure)	
N	ENX	Event (Transportation accident)	
N	ESX	Event (Fires and explosions)	
N	ETX	Event (Total assaults)	
N	EUX	Event (Assaults by person)	
N	EXX	Event (All other assaults)	
N	EYX	Event (All other events)	
N	FIA	Industry - Financial activities	
N	FIN	Industry - Finance and insurance	
N	GFX	Gender (Female)	
N	GMX	Gender (Male)	
N	GNX	Gender (Not reported)	
N	GP1	Industry - Goods producing	
N	HAS	Industry - Health care and social assistance	
N	HAX	Hours (before shift began)	
N	HBX	Hours (less than 1 hour)	
N	HCX	Hours (1 -2 hours)	
N	HDX	Hours (2 - 4 hours)	
N	HEX	Hours (4 - 6 hours)	
N	HFX	Hours (6 - 8 hours)	
N	HGX	Hours (8 - 10 hours)	
N	HHX	Hours (10 - 12 hours)	
N	HIX	Hours (12 - 16 hours)	
N	HJX	Hours (more than 16 hours)	
N	HKX	Hours (not reported)	
N	INF	Industry - Information	
N	LAX	LOS (< 3 mos.)	
N	LBX	LOS (3- 11 mos.)	
N	LCX	LOS (1 - 5 yrs.)	
N	LDX	LOS (5 yrs.)	
N	LEH	Industry - Leisure and hospitality	
N	LEX	LOS (Not reported)	
N	MCE	Industry - Management of companies and enterprises	
N	MFG	Industry - Manufacturing	
N	MIN	Industry - Mining	
N	MSD	Musculoskeletal disorders	
N	NRM	Industry - Natural resources	
N	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
N	O20	Occupation - Professional and Related Occupations (15--29)	
N	O30	Occupation - Service Occupations (31--39)	
N	O41	Occupation - Sales and Related Occupations	
N	O43	Occupation - Office and Administrative Support Occupations	
N	O45	Occupation - Farming, Fishing, and Forestry Occupations	
N	O47	Occupation - Construction and Extraction Occupations	
N	O49	Occupation - Installation, Maintenance, and Repair Occupations	
N	O51	Occupation - Production Occupations	
N	O53	Occupation - Transportation and Material Moving Occupations	
N	OTS	Industry - Other services	
N	PAD	Public Administration	
N	PAX	Part (Total head)	
N	PBS	Industry - Professional business services	
N	PBX	Part (Eyes)	
N	PCX	Part (Neck)	
N	PDX	Part (Total trunk)	
N	PEX	Part (Back)	
N	PFX	Part (Shoulder)	
N	PGX	Part (Total upper)	
N	PHX	Part (Finger)	
N	PIX	Part (Hand)	
N	PJX	Part (Wrist)	
N	PKX	Part (Total lower)	
N	PLX	Part (Knee)	
N	PMX	Part (Foot, toe)	
N	PNX	Part (Body systems)	
N	POX	Part (Multiple)	
N	PPX	Part (All other part)	
N	PQX	Part (Arm)	
N	PRX	Part (Ankle)	
N	PST	Industry - Professional, scientific, and technical services	
N	RAX	Race (American Indian or Alaska native)	
N	RBX	Race (Asian)	
N	RCX	Race (Black or African American)	
N	RDX	Race (Hispanic or Latino)	
N	RET	Industry - Retail trade	
N	REX	Race (Native Hawaiian or Other Pacific Islander)	
N	RFX	Race (White)	
N	RGX	Race (Not reported)	
N	RHX	Race (Multi-race)	
N	RIX	Race (Hispanic and other)	
N	RRL	Industry - Real estate and rental leasing	
N	SAX	Source (Chemicals)	
N	SBX	Source (Containers)	
N	SCX	Source (Furniture)	
N	SDX	Source (Machinery)	
N	SEX	Source (Parts and materials)	
N	SFX	Source (Worker motion)	
N	SGX	Source (Floors)	
N	SHX	Source (Hand tools)	
N	SIX	Source (Vehicles)	
N	SJX	Source (Health care patient)	
N	SKX	Source (All other source)	
N	SLX	Source (Person, injured or ill worker)	
N	SMX	Source (Person, other than injured or ill worker)	
N	SP1	Industry - Service producing	
N	TAX	Time (12:01AM - 4:00AM)	
N	TBX	Time (4:01AM - 8:00AM)	
N	TCX	Time (8:01AM - 12Noon)	
N	TDX	Time (12:01PM - 4:00PM)	
N	TEX	Time (4:01PM - 8:00PM)	
N	TFX	Time (8:01PM - 12Midnight)	
N	TGX	Time (not reported)	
N	TRW	Industry - Transportation and warehousing	
N	TTU	Industry - Trade, transportation, and utilities	
N	UTL	Industry - Utilities	
N	WAX	Weekday (Sunday)	
N	WBX	Weekday (Monday)	
N	WCX	Weekday (Tuesday)	
N	WDX	Weekday (Wednesday)	
N	WEX	Weekday (Thursday)	
N	WFX	Weekday (Friday)	
N	WGX	Weekday (Saturday)	
N	WHT	Industry - Wholesale trade	
O	00X	All industry	
O	AAX	Age group (<14 yrs.)	
O	ABX	Age group (14 - 15 yrs.)	
O	ACX	Age group (16 - 19 yrs.)	
O	ADW	Industry - Administration and support and waste management	
O	ADX	Age group (20 - 24 yrs.)	
O	AER	Industry - Arts, entertainment, and recreation	
O	AEX	Age group (25 - 34 yrs.)	
O	AFH	Industry - Agriculture, forestry, fishing, and hunting	
O	AFS	Industry - Accommodation and food services	
O	AFX	Age group (35 - 44 yrs.)	
O	AGX	Age group (45 - 54 yrs.)	
O	AHX	Age group (55 - 64 yrs.)	
O	AIX	Age group (65+ yrs.)	
O	AJX	Age group (not reported)	
O	CON	Industry - Construction	
O	DAX	DAFW (1 day)	
O	DBX	DAFW (2 days)	
O	DCX	DAFW (3 - 5 days)	
O	DDX	DAFW (6 - 10 days)	
O	DEX	DAFW (11 - 20 days)	
O	DFX	DAFW (21 - 30 days)	
O	DGX	DAFW (31+ days)	
O	EAX	Event (Total object contact)	
O	EBX	Event (Struck by object)	
O	ECX	Event (Struck against object)	
O	EDS	Industry - Educational services	
O	EDX	Event (Caught in object)	
O	EEX	Event (Highway accident)	
O	EFX	Event (Assaults by animals)	
O	EGX	Event (Fall to lower level)	
O	EHS	Industry - Education and health services	
O	EHX	Event (Fall at same level)	
O	EIX	Event (Slips or trips)	
O	EJX	Event (Total overexertion)	
O	EKX	Event (Overexertion in lifting)	
O	ELX	Event (Repetitive motion)	
O	EMX	Event (Harmful exposure)	
O	ENX	Event (Transportation accident)	
O	ESX	Event (Fires and explosions)	
O	ETX	Event (Total assaults)	
O	EUX	Event (Assaults by person)	
O	EXX	Event (All other assaults)	
O	EYX	Event (All other events)	
O	FIA	Industry - Financial activities	
O	FIN	Industry - Finance and insurance	
O	GFX	Gender (Female)	
O	GMX	Gender (Male)	
O	GNX	Gender (Not reported)	
O	GP1	Industry - Goods producing	
O	HAS	Industry - Health care and social assistance	
O	HAX	Hours (before shift began)	
O	HBX	Hours (less than 1 hour)	
O	HCX	Hours (1 -2 hours)	
O	HDX	Hours (2 - 4 hours)	
O	HEX	Hours (4 - 6 hours)	
O	HFX	Hours (6 - 8 hours)	
O	HGX	Hours (8 - 10 hours)	
O	HHX	Hours (10 - 12 hours)	
O	HIX	Hours (12 - 16 hours)	
O	HJX	Hours (more than 16 hours)	
O	HKX	Hours (not reported)	
O	INF	Industry - Information	
O	LAX	LOS (< 3 mos.)	
O	LBX	LOS (3- 11 mos.)	
O	LCX	LOS (1 - 5 yrs.)	
O	LDX	LOS (5 yrs.)	
O	LEH	Industry - Leisure and hospitality	
O	LEX	LOS (Not reported)	
O	MCE	Industry - Management of companies and enterprises	
O	MFG	Industry - Manufacturing	
O	MIN	Industry - Mining	
O	MSD	Musculoskeletal disorders	
O	NAX	Nature (Sprain, Strains)	
O	NBX	Nature (Fractures)	
O	NCX	Nature (Cuts, lacerations, punctures)	
O	NDX	Nature (Cuts, lacerations)	
O	NEX	Nature (Bruises)	
O	NFX	Nature (Punctures)	
O	NGX	Nature (Heat burns)	
O	NHX	Nature (Chemical burns)	
O	NIX	Nature (Amputations)	
O	NJX	Nature (Carpal Tunnel Syndrome)	
O	NKX	Nature (Tendonitis)	
O	NLX	Nature (Total multiple trauma)	
O	NMX	Nature (With fractures)	
O	NNX	Nature (With sprains)	
O	NOX	Nature (Total back pain, etc)	
O	NPX	Nature (Back pain, hurt back only)	
O	NRM	Industry - Natural resources	
O	NTX	Nature (All other nature)	
O	OTS	Industry - Other services	
O	PAD	Public Administration	
O	PAX	Part (Total head)	
O	PBS	Industry - Professional business services	
O	PBX	Part (Eyes)	
O	PCX	Part (Neck)	
O	PDX	Part (Total trunk)	
O	PEX	Part (Back)	
O	PFX	Part (Shoulder)	
O	PGX	Part (Total upper)	
O	PHX	Part (Finger)	
O	PIX	Part (Hand)	
O	PJX	Part (Wrist)	
O	PKX	Part (Total lower)	
O	PLX	Part (Knee)	
O	PMX	Part (Foot, toe)	
O	PNX	Part (Body systems)	
O	POX	Part (Multiple)	
O	PPX	Part (All other part)	
O	PQX	Part (Arm)	
O	PRX	Part (Ankle)	
O	PST	Industry - Professional, scientific, and technical services	
O	RAX	Race (American Indian or Alaska native)	
O	RBX	Race (Asian)	
O	RCX	Race (Black or African American)	
O	RDX	Race (Hispanic or Latino)	
O	RET	Industry - Retail trade	
O	REX	Race (Native Hawaiian or Other Pacific Islander)	
O	RFX	Race (White)	
O	RGX	Race (Not reported)	
O	RHX	Race (Multi-race)	
O	RIX	Race (Hispanic and other)	
O	RRL	Industry - Real estate and rental leasing	
O	SAX	Source (Chemicals)	
O	SBX	Source (Containers)	
O	SCX	Source (Furniture)	
O	SDX	Source (Machinery)	
O	SEX	Source (Parts and materials)	
O	SFX	Source (Worker motion)	
O	SGX	Source (Floors)	
O	SHX	Source (Hand tools)	
O	SIX	Source (Vehicles)	
O	SJX	Source (Health care patient)	
O	SKX	Source (All other source)	
O	SLX	Source (Person, injured or ill worker)	
O	SMX	Source (Person, other than injured or ill worker)	
O	SP1	Industry - Service producing	
O	TAX	Time (12:01AM - 4:00AM)	
O	TBX	Time (4:01AM - 8:00AM)	
O	TCX	Time (8:01AM - 12Noon)	
O	TDX	Time (12:01PM - 4:00PM)	
O	TEX	Time (4:01PM - 8:00PM)	
O	TFX	Time (8:01PM - 12Midnight)	
O	TGX	Time (not reported)	
O	TRW	Industry - Transportation and warehousing	
O	TTU	Industry - Trade, transportation, and utilities	
O	UTL	Industry - Utilities	
O	WAX	Weekday (Sunday)	
O	WBX	Weekday (Monday)	
O	WCX	Weekday (Tuesday)	
O	WDX	Weekday (Wednesday)	
O	WEX	Weekday (Thursday)	
O	WFX	Weekday (Friday)	
O	WGX	Weekday (Saturday)	
O	WHT	Industry - Wholesale trade	
P	00X	All industry	
P	AAX	Age group (<14 yrs.)	
P	ABX	Age group (14 - 15 yrs.)	
P	ACX	Age group (16 - 19 yrs.)	
P	ADW	Industry - Administration and support and waste management	
P	ADX	Age group (20 - 24 yrs.)	
P	AER	Industry - Arts, entertainment, and recreation	
P	AEX	Age group (25 - 34 yrs.)	
P	AFH	Industry - Agriculture, forestry, fishing, and hunting	
P	AFS	Industry - Accommodation and food services	
P	AFX	Age group (35 - 44 yrs.)	
P	AGX	Age group (45 - 54 yrs.)	
P	AHX	Age group (55 - 64 yrs.)	
P	AIX	Age group (65+ yrs.)	
P	AJX	Age group (not reported)	
P	CON	Industry - Construction	
P	DAX	DAFW (1 day)	
P	DBX	DAFW (2 days)	
P	DCX	DAFW (3 - 5 days)	
P	DDX	DAFW (6 - 10 days)	
P	DEX	DAFW (11 - 20 days)	
P	DFX	DAFW (21 - 30 days)	
P	DGX	DAFW (31+ days)	
P	EAX	Event (Total object contact)	
P	EBX	Event (Struck by object)	
P	ECX	Event (Struck against object)	
P	EDS	Industry - Educational services	
P	EDX	Event (Caught in object)	
P	EEX	Event (Highway accident)	
P	EFX	Event (Assaults by animals)	
P	EGX	Event (Fall to lower level)	
P	EHS	Industry - Education and health services	
P	EHX	Event (Fall at same level)	
P	EIX	Event (Slips or trips)	
P	EJX	Event (Total overexertion)	
P	EKX	Event (Overexertion in lifting)	
P	ELX	Event (Repetitive motion)	
P	EMX	Event (Harmful exposure)	
P	ENX	Event (Transportation accident)	
P	ESX	Event (Fires and explosions)	
P	ETX	Event (Total assaults)	
P	EUX	Event (Assaults by person)	
P	EXX	Event (All other assaults)	
P	EYX	Event (All other events)	
P	FIA	Industry - Financial activities	
P	FIN	Industry - Finance and insurance	
P	GFX	Gender (Female)	
P	GMX	Gender (Male)	
P	GNX	Gender (Not reported)	
P	GP1	Industry - Goods producing	
P	HAS	Industry - Health care and social assistance	
P	HAX	Hours (before shift began)	
P	HBX	Hours (less than 1 hour)	
P	HCX	Hours (1 -2 hours)	
P	HDX	Hours (2 - 4 hours)	
P	HEX	Hours (4 - 6 hours)	
P	HFX	Hours (6 - 8 hours)	
P	HGX	Hours (8 - 10 hours)	
P	HHX	Hours (10 - 12 hours)	
P	HIX	Hours (12 - 16 hours)	
P	HJX	Hours (more than 16 hours)	
P	HKX	Hours (not reported)	
P	INF	Industry - Information	
P	LAX	LOS (< 3 mos.)	
P	LBX	LOS (3- 11 mos.)	
P	LCX	LOS (1 - 5 yrs.)	
P	LDX	LOS (5 yrs.)	
P	LEH	Industry - Leisure and hospitality	
P	LEX	LOS (Not reported)	
P	MCE	Industry - Management of companies and enterprises	
P	MFG	Industry - Manufacturing	
P	MIN	Industry - Mining	
P	MSD	Musculoskeletal disorders	
P	NAX	Nature (Sprain, Strains)	
P	NBX	Nature (Fractures)	
P	NCX	Nature (Cuts, lacerations, punctures)	
P	NDX	Nature (Cuts, lacerations)	
P	NEX	Nature (Bruises)	
P	NFX	Nature (Punctures)	
P	NGX	Nature (Heat burns)	
P	NHX	Nature (Chemical burns)	
P	NIX	Nature (Amputations)	
P	NJX	Nature (Carpal Tunnel Syndrome)	
P	NKX	Nature (Tendonitis)	
P	NLX	Nature (Total multiple trauma)	
P	NMX	Nature (With fractures)	
P	NNX	Nature (With sprains)	
P	NOX	Nature (Total back pain, etc)	
P	NPX	Nature (Back pain, hurt back only)	
P	NRM	Industry - Natural resources	
P	NTX	Nature (All other nature)	
P	O10	Occupation - Management, Business, and Financial Occupations (11--13)	
P	O20	Occupation - Professional and Related Occupations (15--29)	
P	O30	Occupation - Service Occupations (31--39)	
P	O41	Occupation - Sales and Related Occupations	
P	O43	Occupation - Office and Administrative Support Occupations	
P	O45	Occupation - Farming, Fishing, and Forestry Occupations	
P	O47	Occupation - Construction and Extraction Occupations	
P	O49	Occupation - Installation, Maintenance, and Repair Occupations	
P	O51	Occupation - Production Occupations	
P	O53	Occupation - Transportation and Material Moving Occupations	
