case_code	category_code	category_text
E	TR	Secondary source of injury-- Other sources
O	TR	Secondary source of injury-- Other sources
0	TS	Secondary source of injury-- Liquids
1	TS	Secondary source of injury-- Liquids
9	TS	Secondary source of injury-- Liquids
E	TS	Secondary source of injury-- Liquids
O	TS	Secondary source of injury-- Liquids
0	TT	Secondary source of injury-- Not reported
1	TT	Secondary source of injury-- Not reported
9	TT	Secondary source of injury-- Not reported
E	TT	Secondary source of injury-- Not reported
O	TT	Secondary source of injury-- Not reported
0	WA	Worker status-- Wage earner
1	WA	Worker status-- Wage earner
9	WA	Worker status-- Wage earner
E	WA	Worker status-- Wage earner
O	WA	Worker status-- Wage earner
S	WA	Worker status-- Wage earner
T	WA	Worker status-- Wage earner
0	WB	Worker status-- Self-employed
1	WB	Worker status-- Self-employed
9	WB	Worker status-- Self-employed
E	WB	Worker status-- Self-employed
O	WB	Worker status-- Self-employed
S	WB	Worker status-- Self-employed
T	WB	Worker status-- Self-employed
0	XA	Worker activity-- Transporting
1	XA	Worker activity-- Transporting
9	XA	Worker activity-- Transporting
E	XA	Worker activity-- Transporting
O	XA	Worker activity-- Transporting
S	XA	Worker activity-- Transporting
T	XA	Worker activity-- Transporting
0	XB	Worker activity-- Tool use
1	XB	Worker activity-- Tool use
9	XB	Worker activity-- Tool use
E	XB	Worker activity-- Tool use
O	XB	Worker activity-- Tool use
S	XB	Worker activity-- Tool use
T	XB	Worker activity-- Tool use
0	XC	Worker activity-- Constructing
1	XC	Worker activity-- Constructing
9	XC	Worker activity-- Constructing
E	XC	Worker activity-- Constructing
O	XC	Worker activity-- Constructing
S	XC	Worker activity-- Constructing
T	XC	Worker activity-- Constructing
0	XD	Worker activity-- Protecting
1	XD	Worker activity-- Protecting
9	XD	Worker activity-- Protecting
E	XD	Worker activity-- Protecting
O	XD	Worker activity-- Protecting
S	XD	Worker activity-- Protecting
T	XD	Worker activity-- Protecting
0	XE	Worker activity-- Handling
1	XE	Worker activity-- Handling
9	XE	Worker activity-- Handling
E	XE	Worker activity-- Handling
O	XE	Worker activity-- Handling
S	XE	Worker activity-- Handling
T	XE	Worker activity-- Handling
0	XF	Worker activity-- Physical
1	XF	Worker activity-- Physical
9	XF	Worker activity-- Physical
E	XF	Worker activity-- Physical
O	XF	Worker activity-- Physical
S	XF	Worker activity-- Physical
T	XF	Worker activity-- Physical
0	XG	Worker activity-- Other
1	XG	Worker activity-- Other
9	XG	Worker activity-- Other
E	XG	Worker activity-- Other
O	XG	Worker activity-- Other
S	XG	Worker activity-- Other
T	XG	Worker activity-- Other
0	XH	Worker activity-- Tending
1	XH	Worker activity-- Tending
9	XH	Worker activity-- Tending
E	XH	Worker activity-- Tending
O	XH	Worker activity-- Tending
S	XH	Worker activity-- Tending
T	XH	Worker activity-- Tending
0	XI	Worker activity-- Not reported
1	XI	Worker activity-- Not reported
9	XI	Worker activity-- Not reported
E	XI	Worker activity-- Not reported
O	XI	Worker activity-- Not reported
S	XI	Worker activity-- Not reported
T	XI	Worker activity-- Not reported
0	YA	Worker location-- Residence
1	YA	Worker location-- Residence
9	YA	Worker location-- Residence
E	YA	Worker location-- Residence
O	YA	Worker location-- Residence
S	YA	Worker location-- Residence
T	YA	Worker location-- Residence
0	YB	Worker location-- Farm
1	YB	Worker location-- Farm
9	YB	Worker location-- Farm
E	YB	Worker location-- Farm
O	YB	Worker location-- Farm
S	YB	Worker location-- Farm
T	YB	Worker location-- Farm
0	YC	Worker location-- Mine
1	YC	Worker location-- Mine
9	YC	Worker location-- Mine
E	YC	Worker location-- Mine
O	YC	Worker location-- Mine
S	YC	Worker location-- Mine
T	YC	Worker location-- Mine
0	YD	Worker location-- Industrial area
1	YD	Worker location-- Industrial area
9	YD	Worker location-- Industrial area
E	YD	Worker location-- Industrial area
O	YD	Worker location-- Industrial area
S	YD	Worker location-- Industrial area
T	YD	Worker location-- Industrial area
0	YE	Worker location-- Recreation area
1	YE	Worker location-- Recreation area
9	YE	Worker location-- Recreation area
E	YE	Worker location-- Recreation area
O	YE	Worker location-- Recreation area
S	YE	Worker location-- Recreation area
T	YE	Worker location-- Recreation area
0	YF	Worker location-- Street
1	YF	Worker location-- Street
9	YF	Worker location-- Street
E	YF	Worker location-- Street
O	YF	Worker location-- Street
S	YF	Worker location-- Street
T	YF	Worker location-- Street
0	YG	Worker location-- Public building
1	YG	Worker location-- Public building
9	YG	Worker location-- Public building
E	YG	Worker location-- Public building
O	YG	Worker location-- Public building
S	YG	Worker location-- Public building
T	YG	Worker location-- Public building
0	YH	Worker location-- Institution
1	YH	Worker location-- Institution
9	YH	Worker location-- Institution
E	YH	Worker location-- Institution
O	YH	Worker location-- Institution
S	YH	Worker location-- Institution
T	YH	Worker location-- Institution
0	YI	Worker location-- Other
1	YI	Worker location-- Other
9	YI	Worker location-- Other
E	YI	Worker location-- Other
O	YI	Worker location-- Other
S	YI	Worker location-- Other
T	YI	Worker location-- Other
0	YJ	Worker location-- Not reported
1	YJ	Worker location-- Not reported
9	YJ	Worker location-- Not reported
E	YJ	Worker location-- Not reported
O	YJ	Worker location-- Not reported
S	YJ	Worker location-- Not reported
T	YJ	Worker location-- Not reported
