provision_code	provision_text	display_level	selectable	sort_sequence
485	Fee-for-service plans: Median variable coinsurance percentage (in-network)	2	T	86	
486	Fee-for-service plans: Median variable coinsurance percentage (out-of-network)	1	T	87	
487	Fee-for-service plans: With annual out-of-pocket maximum	1	T	88	
488	Fee-for-service plans: With no annual out-of-pocket maximum	2	T	89	
489	Fee-for-service plans: Annual individual with out-of-pocket maximum	2	T	90	
490	Fee-for-service plans: Annual individual out-of-pocket maximum amount (10th percentile)	2	T	91	
491	Fee-for-service plans: Annual individual out-of-pocket maximum amount (25th percentile)	2	T	92	
492	Fee-for-service plans: Annual individual out-of-pocket maximum amount (50th percentile-median)	2	T	93	
493	Fee-for-service plans: Annual individual out-of-pocket maximum amount (75th percentile)	2	T	94	
494	Fee-for-service plans: Annual individual out-of-pocket maximum amount (90th percentile)	2	T	95	
495	Fee-for-service plans: With no annual individual out-of-pocket maximum	2	T	96	
496	Fee-for-service plans: With annual individual out-of-pocket maximum not determinable	2	T	97	
497	Fee-for-service plans: With annual family out-of-pocket maximum	2	T	98	
498	Fee-for-service plans: Annual family out-of-pocket maximum amount (10th percentile)	2	T	99	
499	Fee-for-service plans: Annual family out-of-pocket maximum amount (25th percentile)	2	T	100	
500	Fee-for-service plans: Annual family out-of-pocket maximum amount (50th percentile-median)	2	T	101	
501	Fee-for-service plans: Annual family out-of-pocket maximum amount (75th percentile)	2	T	102	
502	Fee-for-service plans: Annual family out-of-pocket maximum amount (90th percentile)	2	T	103	
503	Fee-for-service plans: With no annual family out-of-pocket maximum	2	T	104	
504	Fee-for-service plans: Coverage for mental health care, inpatient mental	1	T	105	
505	Fee-for-service plans: Coverage for mental health care, outpatient mental	1	T	106	
506	Fee-for-service plans: Coverage for selected services, hospital room and board	1	T	107	
507	Fee-for-service plans: Coverage for selected services, inpatient surgery	1	T	108	
508	Fee-for-service plans: Coverage for selected services, office physician visit	1	T	109	
509	Fee-for-service plans: Coverage for selected services, outpatient surgery	1	T	110	
510	Health maintenance organizations: Total	1	T	111	
511	Health maintenance organizations: Traditional	1	T	112	
512	Health maintenance organizations: Open access	1	T	113	
513	Health maintenance organizations: Type of plan not determinable	1	T	114	
514	Health maintenance organizations: With annual deductible	1	T	115	
515	Health maintenance organizations: With no annual deductible	1	T	116	
516	Health maintenance organizations: With annual deductible not determinable	1	T	117	
532	Health maintenance organizations: With coinsurance	1	T	133	
533	Health maintenance organizations: With no coinsurance	1	T	134	
534	Health maintenance organizations: With coinsurance not determinable	1	T	135	
542	Health maintenance organizations: With annual out-of-pocket maximum	1	T	143	
543	Health maintenance organizations: With no annual out-of-pocket maximum	1	T	144	
544	Health maintenance organizations: With annual out-of-pocket maximum not determinable	1	T	145	
545	Health maintenance organizations: With annual family out-of-pocket maximum	2	T	146	
546	Health maintenance organizations: With no annual family out-of-pocket maximum	2	T	147	
547	Health maintenance organizations: With annual individual out-of-pocket maximum	2	T	148	
548	Health maintenance organizations: Amount of annual individual out-of-pocket maximum (10th percentile)	2	T	149	
549	Health maintenance organizations: Amount of annual individual out-of-pocket maximum (25th percentile)	2	T	150	
550	Health maintenance organizations: Amount of annual individual out-of-pocket maximum (50th percentile-median)	2	T	151	
551	Health maintenance organizations: Amount of annual individual out-of-pocket maximum (75th percentile)	2	T	152	
552	Health maintenance organizations: Amount of annual individual out-of-pocket maximum (90th percentile)	2	T	153	
553	Health maintenance organizations: With no annual individual out-of-pocket maximum	2	T	154	
554	Health maintenance organizations: Amount of annual family out-of-pocket maximum (10th percentile)	2	T	155	
555	Health maintenance organizations: Amount of annual family out-of-pocket maximum (25th percentile)	2	T	156	
556	Health maintenance organizations: Amount of annual family out-of-pocket maximum (50th percentile-median)	2	T	157	
557	Health maintenance organizations: Amount of annual family out-of-pocket maximum (75th percentile)	2	T	158	
558	Health maintenance organizations: Amount of annual family out-of-pocket maximum (90th percentile)	2	T	159	
559	Health maintenance organizations: Coverage for inpatient mental health care	1	T	160	
560	Health maintenance organizations: Coverage for outpatient mental health care	1	T	161	
561	Health maintenance organizations: Coverage for hospital room and board	1	T	162	
562	Health maintenance organizations: Coverage for inpatient surgery	1	T	163	
563	Health maintenance organizations: Coverage for physician office visit	1	T	164	
564	Health maintenance organizations: Coverage for outpatient surgery	1	T	165	
565	Hospital room and board benefits: All medical plans, coverage not determinable	1	T	166	
566	Hospital room and board benefits: All medical plans, coverage with limits	1	T	167	
567	Hospital room and board benefits: All medical plans, full coverage	1	T	168	
568	Hospital room and board benefits: Fee-for-service plans coverage not determinable	1	T	169	
569	Hospital room and board benefits: Fee-for-service plans, coverage with limits	1	T	170	
570	Hospital room and board benefits: Fee-for-service plans, full coverage	1	T	171	
571	Hospital room and board benefits: Health maintenance organizations plans, coverage not determinable	1	T	172	
572	Hospital room and board benefits: Health maintenance organizations plans, coverage with limits	1	T	173	
573	Hospital room and board benefits: Health maintenance organizations plans, full coverage	1	T	174	
574	Hospital room and board benefits: All medical plans, coinsurance only	1	T	175	
575	Hospital room and board benefits: All medical plans, copayment and coinsurance	1	T	176	
576	Hospital room and board benefits: All medical plans, copayment only	1	T	177	
577	Hospital room and board benefits: All medical plans, median copayment per visit	1	T	178	
578	Hospital room and board benefits: Fee-for-service plans, coinsurance only	1	T	179	
579	Hospital room and board benefits: Fee-for-service plans, copayment and coinsurance	1	T	180	
580	Hospital room and board benefits: Fee-for-service plans, copayment only	1	T	181	
581	Hospital room and board benefits: Fee-for-service, median copayment per visit	1	T	182	
582	Hospital room and board benefits: Health maintenance organizations plans, coinsurance only	1	T	183	
583	Hospital room and board benefits: Health maintenance organizations plans, copayment and coinsurance	1	T	184	
584	Hospital room and board benefits: Health maintenance organizations plans, copayment only	1	T	185	
585	Hospital room and board benefits: Health maintenance organizations plans, median copayment per visit	1	T	186	
586	Inpatient mental health care benefits: All medical plans, coverage not determinable	1	T	187	
587	Inpatient mental health care benefits: All medical plans, coverage with limits	1	T	188	
588	Inpatient mental health care benefits: All medical plans, full coverage	1	T	189	
589	Inpatient mental health care benefits: Fee-for-service plans, coverage not determinable	1	T	190	
590	Inpatient mental health care benefits: Fee-for-service plans, coverage with limits	1	T	191	
591	Inpatient mental health care benefits: Fee-for-service plans, full coverage	1	T	192	
592	Inpatient mental health care benefits: Health maintenance organizations plans, coverage not determinable	1	T	193	
593	Inpatient mental health care benefits: Health maintenance organizations plans, coverage with limits	1	T	194	
594	Inpatient mental health care benefits: Health maintenance organizations plans, full coverage	1	T	195	
595	Inpatient surgery benefits: All medical plans, coverage not determinable	1	T	196	
596	Inpatient surgery benefits: All medical plans, coverage with limits	1	T	197	
597	Inpatient surgery benefits: All medical plans, full coverage	1	T	198	
598	Inpatient surgery benefits: Fee-for-service plans, coverage not determinable	1	T	199	
599	Inpatient surgery benefits: Fee-for-service plans, coverage with limits	1	T	200	
600	Inpatient surgery benefits: Fee-for-service plans, full coverage	1	T	201	
601	Inpatient surgery benefits: Health maintenance organizations plans, coverage not determinable	1	T	202	
602	Inpatient surgery benefits: Health maintenance organizations plans, coverage with limits	1	T	203	
603	Inpatient surgery benefits: Health maintenance organizations plans, full coverage	1	T	204	
604	Mental health care treatment benefits: Coverage for inpatient mental	1	T	205	
605	Mental health care treatment benefits: Coverage for outpatient mental	1	T	206	
606	Outpatient mental health care benefits: Health maintenance organizations plans, coverage not determinable	1	T	207	
607	Outpatient mental health care benefits: Health maintenance organizations plans, coverage with limits	1	T	208	
608	Outpatient mental health care benefits: All medical plans, coverage not determinable	1	T	209	
609	Outpatient mental health care benefits: All medical plans, coverage with limits	1	T	210	
610	Outpatient mental health care benefits: All medical plans, full coverage	1	T	211	
611	Outpatient mental health care benefits: Fee-for-service plans, coverage not determinable	1	T	212	
612	Outpatient mental health care benefits: Fee-for-service plans, coverage with limits	1	T	213	
613	Outpatient mental health care benefits: Fee-for-service plans, full coverage	1	T	214	
614	Outpatient prescription drug benefits: Brand-name drugs not on formulary coverage	1	T	215	
615	Outpatient prescription drug benefits: Brand-name drugs on formulary coverage	1	T	216	
616	Outpatient prescription drug benefits: Brand-name drugs on formulary with copayment	1	T	217	
617	Outpatient prescription drug benefits: Brand-name drugs on formulary with no copayment	1	T	218	
618	Outpatient prescription drug benefits: Brand-name drugs on formulary with copayment not determinable	1	T	219	
619	Outpatient prescription drug benefits: Brand-name drugs on formulary median copayment per prescription	1	T	220	
620	Outpatient prescription drug benefits: Brand-name drugs not on formulary with copayment	1	T	221	
621	Outpatient prescription drug benefits: Brand-name drugs not on formulary with no copayment	1	T	222	
622	Outpatient prescription drug benefits: Brand-name drugs not on formulary with copayment not determinable	1	T	223	
623	Outpatient prescription drug benefits: Brand-name drugs not on formulary median copayment per prescription	1	T	224	
624	Outpatient prescription drug benefits: Generic drugs with copayment not determinable	1	T	225	
625	Outpatient prescription drug benefits: Generic drugs coverage	1	T	226	
626	Outpatient prescription drug benefits: Generic drugs with copayment	1	T	227	
627	Outpatient prescription drug benefits: Generic drugs with no copayment	1	T	228	
628	Outpatient prescription drug benefits: Generic drugs median copayment per prescription	1	T	229	
629	Outpatient prescription drug benefits: Mail order drugs coverage	1	T	230	
630	Outpatient surgery benefits: Health maintenance organizations plans, coverage not determinable	1	T	231	
631	Outpatient surgery benefits: Health maintenance organizations plans, coverage with limits	1	T	232	
632	Outpatient surgery benefits: Health maintenance organizations plans, full coverage	1	T	233	
633	Outpatient surgery benefits: Health maintenance organizations plans, median copayment per visit	1	T	234	
634	Outpatient surgery benefits: All medical plans, coverage not determinable	1	T	235	
635	Outpatient surgery benefits: All medical plans, coverage with limits	1	T	236	
636	Outpatient surgery benefits: All medical plans, full coverage	1	T	237	
637	Outpatient surgery benefits: All medical plans, median copayment per visit	1	T	238	
638	Outpatient surgery benefits: Fee-for-service plans, coverage not determinable	1	T	239	
639	Outpatient surgery benefits: Fee-for-service plans, coverage with limits	1	T	240	
640	Outpatient surgery benefits: Fee-for-service plans, full coverage	1	T	241	
641	Outpatient surgery benefits: Fee-for-service, median copayment per visit	1	T	242	
642	Physician office visit benefits: Health maintenance organizations plans, coverage not determinable	1	T	243	
643	Physician office visit benefits: Health maintenance organizations plans, coverage with limits	1	T	244	
644	Physician office visit benefits: Health maintenance organizations plans, full coverage	1	T	245	
645	Physician office visit benefits: Health maintenance organizations, median copayment per visit	1	T	246	
646	Physician office visit benefits: All medical plans, coverage not determinable	1	T	247	
647	Physician office visit benefits: All medical plans, coverage with limits	1	T	248	
648	Physician office visit benefits: All medical plans, full coverage	1	T	249	
649	Physician office visit benefits: All medical plans, median copayment per visit	1	T	250	
650	Physician office visit benefits: Fee-for-service plans, coverage not determinable	1	T	251	
651	Physician office visit benefits: Fee-for-service plans, coverage with limits	1	T	252	
652	Physician office visit benefits: Fee-for-service plans, full coverage	1	T	253	
653	Physician office visit benefits: Fee-for-service, median copayment per visit	1	T	254	
654	Dental care benefits: Preventative services coverage	2	T	255	
655	Dental care benefits: Basic services coverage	2	T	256	
656	Dental care benefits: Major services coverage	2	T	257	
657	Dental care benefits: Coverage for orthodontia, total	3	T	258	
658	Dental care benefits: Coverage for orthodontia, employee and dependent	3	T	259	
659	Dental care benefits: Coverage for orthodontia, dependent only	3	T	260	
660	Dental care benefits: Coverage for preventive services, full coverage	3	T	261	
661	Dental care benefits: Coverage for preventive services, coverage with limits	3	T	262	
662	Dental care benefits: Coverage for preventive services not determinable	3	T	263	
663	Dental care benefits: Coverage for basic services, full coverage	3	T	264	
664	Dental care benefits: Coverage for basic services, coverage with limits	3	T	265	
665	Dental care benefits: Coverage for basic services not determinable	3	T	266	
666	Dental care benefits: Coverage for major services, coverage with limits	3	T	267	
667	Dental care benefits: Coverage for major services, no coverage	3	T	268	
668	Dental care benefits: Coverage for major services not determinable	3	T	269	
669	Dental care benefits: Median percent of covered charges paid by plan for preventative services	3	T	270	
670	Dental care benefits: Median percent of covered charges paid by plan for basic services	3	T	271	
671	Dental care benefits: Median percent of covered charges paid by plan for major services	3	T	272	
672	Dental care benefits: Employee and dependent coverage for orthodontia, coverage with limits	3	T	273	
673	Dental care benefits: Employee and dependent coverage for orthodontia, no coverage	3	T	274	
674	Dental care benefits: Employee and dependent coverage for orthodontia, not determinable	3	T	275	
675	Dental care benefits: Employee and dependent coverage for orthodontia, median percent of covered charges	3	T	276	
676	Dental care benefits: Dependent only coverage for orthodontia, coverage with limits	3	T	277	
677	Dental care benefits: Dependent only coverage for orthodontia, no coverage	3	T	278	
678	Dental care benefits: Dependent only coverage for orthodontia not determinable	3	T	279	
679	Dental care benefits: Dependent only coverage for orthodontia, median percent covered of charges	3	T	280	
680	Dental care benefits: Coverage for orthodontia, median lifetime maximum	3	T	281	
681	Dental care benefits: With annual individual deductible	3	T	282	
682	Dental care benefits: Amount of annual individual deductible (10th percentile)	3	T	283	
683	Dental care benefits: Amount of annual individual deductible (25th percentile)	3	T	284	
684	Dental care benefits: Amount of annual individual deductible (50th percentile-median)	3	T	285	
685	Dental care benefits: Amount of annual individual deductible (75th percentile)	3	T	286	
686	Dental care benefits: Amount of annual individual deductible (90th percentile)	3	T	287	
687	Dental care benefits: With no annual individual deductible	3	T	288	
688	Dental care benefits: With annual individual deductible not determinable	3	T	289	
689	Dental care benefits: With annual family deductible	3	T	290	
690	Dental care benefits: Amount of annual family deductible (10th percentile)	3	T	291	
691	Dental care benefits: Amount of annual family deductible (25th percentile)	3	T	292	
692	Dental care benefits: Amount of annual family deductible (50th percentile-median)	3	T	293	
693	Dental care benefits: Amount of annual family deductible (75th percentile)	3	T	294	
694	Dental care benefits: Amount of annual family deductible (90th percentile)	3	T	295	
695	Dental care benefits: With no annual family deductible	3	T	296	
696	Dental care benefits: With annual plan maximum	3	T	297	
697	Dental care benefits: Amount of annual plan maximum (10th percentile)	3	T	298	
698	Dental care benefits: Amount of annual plan maximum (25th percentile)	3	T	299	
699	Dental care benefits: Amount of annual plan maximum (50th percentile-median)	3	T	300	
700	Dental care benefits: Amount of annual plan maximum (75th percentile)	3	T	301	
701	Dental care benefits: Amount of annual plan maximum (90th percentile)	3	T	302	
702	Dental care benefits: With no annual plan maximum	3	T	303	
703	Dental care benefits: With annual plan maximum not determinable	3	T	304	
704	Vision care benefits: Coverage for eye exams	2	T	305	
705	Vision care benefits: Extent of coverage for eye exams, full coverage	2	T	306	
706	Vision care benefits: Extent of coverage for eye exams, coverage with limits	2	T	307	
707	Vision care benefits: Extent of coverage for eye exams not determinable	2	T	308	
708	Vision care benefits: Median copayments for eye exams	2	T	309	
709	Vision care benefits: Coverage for glasses	2	T	310	
710	Vision care benefits: Extent of coverage for glasses, full coverage	2	T	311	
711	Vision care benefits: Extent of coverage for glasses, coverage with limits	2	T	312	
712	Vision care benefits: Extent of coverage for glasses not determinable	2	T	313	
713	Vision care benefits: Median copayments for glasses	2	T	314	
714	Vision care benefits: Coverage for contact lenses	2	T	315	
715	Vision care benefits: Extent of coverage for contact lenses, full coverage	2	T	316	
716	Vision care benefits: Extent of coverage for contact lenses, coverage with limits	2	T	317	
717	Vision care benefits: Extent of coverage for contact lenses not determinable	2	T	318	
718	Vision care benefits: Median copayments for contact lenses	2	T	319	
800	Defined benefit plans: With traditional primary formula	2	T	320	
801	Defined benefit plans: With non-traditional primary plan formula	2	T	321	
802	Defined benefit plans: Single employer plan sponsor	2	T	322	
803	Defined benefit plans: Multi-employer plan sponsor	2	T	323	
804	Defined benefit plans: Plans open to new employees	2	T	324	
805	Defined benefit plans: Plans not open to new employees	2	T	325	
806	Defined benefit  plans: Plans open to new employees not determinable	2	T	326	
808	Defined benefit plans open to new employees: No minimum age or service requirement	3	T	328	
809	Defined benefit plans open to new employees: Minimum age requirement only	3	T	329	
810	Defined benefit plans open to new employees: Minimum service requirement only	3	T	330	
811	Defined benefits plans open to new employee: Minimum age and service requirement not determinable	3	T	331	
812	Defined benefit plans: Benefits integrated with Social Security	2	T	332	
813	Defined benefit plans: Social Security breakpoint integrated formula	3	T	333	
814	Defined benefit plans: Social Security cash balance integrated formula	3	T	334	
815	Defined benefit plans: Social Security offset integrated formula	3	T	335	
816	Defined benefit plans: Benefits not integrated with Social Security	2	T	336	
817	Defined benefit plans: Not covered under Social Security	2	T	337	
818	Defined benefit plans: Immediate full vesting requirement	2	T	338	
819	Defined benefit plans: Cliff vesting requirement	2	T	339	
820	Defined benefit plans: Years required for cliff vesting (Mean)	3	T	340	
821	Defined benefit plans: Years required for cliff vesting (Median)	3	T	341	
822	Defined benefit plans: Graded vesting	2	T	342	
823	Defined benefits plans: Vesting requirement not determinable	2	T	343	
824	Non-traditional defined benefit single employer plan sponsor	3	T	344	
826	Non-traditional defined benefit cash balance plans: Employer contribution varies by age	4	T	346	
829	Non-traditional defined benefit cash balance plans: Employer contribution varies by service	4	T	349	
830	Non-traditional defined benefit cash balance plans: Employer contributions varies by Social Security taxable wage base	4	T	350	
831	Non-traditional defined benefit cash balance plans: Variable percentage employer contribution	3	T	351	
832	Non-traditional defined benefit plans: Lump sum payment at normal retirement	3	T	352	
833	Non-traditional defined benefit primary plan formula: Cash balance	3	T	353	
835	Non-traditional defined benefit primary plan formula: Pension equity	3	T	355	
837	Non-traditional defined benefits cash balance plans: Flat rate percentage employer contribution	3	T	357	
840	Non-traditional defined benefits plans: Disability retirement benefits	3	T	360	
841	Non-traditional defined benefits plans: Joint-and-survivor annuity	3	T	361	
842	Non-traditional defined benefits plans: Pre-retirement survivor benefits	3	T	362	
843	Traditional defined benefit multi-employer plan sponsor	3	T	363	
844	Traditional defined benefit plans with disability retirement available	3	T	364	
845	Traditional defined benefit plans with disability retirement not available	3	T	365	
846	Traditional defined benefit plans with disability retirement beginning immediately	4	T	366	
847	Traditional defined benefit plans with disability retirement is deferred	4	T	367	
848	Traditional defined benefit plans with early retirement reductions: Actuarial	5	T	368	
849	Traditional defined benefit plans with early retirement reductions: Flat percent per year	5	T	369	
850	Traditional defined benefits plans with terminal earnings formulas: Percent per year varies	3	T	370	
851	Traditional defined benefit plans with early retirement reductions: Varies by age or service	5	T	371	
852	Traditional defined benefit plans with joint-and-survivor annuity: 50 percent	4	T	372	
853	Traditional defined benefit plans with joint-and-survivor annuity: Choice of percentages	4	T	373	
854	Traditional defined benefit plans with joint-and-survivor annuity: Other fixed percentage	4	T	374	
855	Traditional defined benefit plans with normal retirement requirements: Age < 65 and service 10 or more years	4	T	375	
856	Traditional defined benefit plans with normal retirement requirements: Age < 65 and service < 10 years	4	T	376	
857	Traditional defined benefit plans with normal retirement requirements: Age = 65 and service 10 year or more	4	T	377	
858	Traditional defined benefit plans with normal retirement requirements: Age = 65 and service < 10 years	4	T	378	
859	Traditional defined benefit plans with normal retirement requirements: Age and service	3	T	379	
860	Traditional defined benefit plans with normal retirement requirements: Age only	3	T	380	
861	Traditional defined benefit plans with normal retirement requirements: Age plus service	3	T	381	
862	Traditional defined benefit plans with normal retirement requirements: Service only	3	T	382	
863	Traditional defined benefit plans with normal retirement service requirements (10th percentile)	3	T	383	
864	Traditional defined benefit plans with normal retirement service requirements (25th percentile)	3	T	384	
865	Traditional defined benefit plans with normal retirement service requirements (50th percentile-median)	3	T	385	
866	Traditional defined benefit plans with normal retirement service requirements (75th percentile)	3	T	386	
867	Traditional defined benefit plans with normal retirement service requirements (90th percentile)	3	T	387	
868	Traditional defined benefit plans with post-retirement survivor benefits: Joint-and-survivor-annuity	3	T	388	
869	Traditional defined benefit plans with terminal earnings formulas: Flat percent per year of service	3	T	389	
870	Traditional defined benefit plans with terminal earnings formulas: Flat percent per year of service (10th percentile)	4	T	390	
871	Traditional defined benefit plans with terminal earnings formulas: Flat percent per year of service (25th percentile)	4	T	391	
872	Traditional defined benefit plans with terminal earnings formulas: Flat percent per year of service (50th percentile-median)	4	T	392	
873	Traditional defined benefit plans with terminal earnings formulas: Flat percent per year of service (75th percentile)	4	T	393	
874	Traditional defined benefit plans with terminal earnings formulas: Flat percent per year of service (90th percentile)	4	T	394	
875	Traditional defined benefit plans: Availability of early retirement with selected requirements, sum of age plus service	4	T	395	
876	Traditional defined benefit plans: Early retirement age requirements (10th percentile)	4	T	396	
877	Traditional defined benefit plans: Early retirement age requirements (25th percentile)	4	T	397	
878	Traditional defined benefit plans: Early retirement age requirements (50th percentile-median)	4	T	398	
879	Traditional defined benefit plans: Early retirement age requirements (75th percentile)	4	T	399	
880	Traditional defined benefit plans: Early retirement age requirements (90th percentile)	4	T	400	
881	Traditional defined benefit plans: Early retirement available	3	T	401	
882	Traditional defined benefit plans: Early retirement service requirements (10th percentile)	5	T	402	
883	Traditional defined benefit plans: Early retirement service requirements (25th percentile)	5	T	403	
884	Traditional defined benefit plans: Early retirement service requirements (50th percentile-median)	5	T	404	
885	Traditional defined benefit plans: Early retirement service requirements (75th percentile)	5	T	405	
886	Traditional defined benefit plans: Early retirement service requirements (90th percentile)	5	T	406	
887	Traditional defined benefit plans: Full lump-sum payment	4	T	407	
888	Traditional defined benefit plans: Lump-sum payment available	3	T	408	
889	Traditional defined benefit plans: Lump-sum payment not available	3	T	409	
890	Traditional defined benefit plans: Maximum years of credited service (10th percentile)	4	T	410	
891	Traditional defined benefit plans: Maximum years of credited service (25th percentile)	4	T	411	
892	Traditional defined benefit plans: Maximum years of credited service (50th percentile-median)	4	T	412	
893	Traditional defined benefit plans: Maximum years of credited service (75th percentile)	4	T	413	
894	Traditional defined benefit plans: Maximum years of credited service (90th percentile)	4	T	414	
895	Traditional defined benefit plans: Not subject to maximum years of credited service	3	T	415	
896	Traditional defined benefit plans: Partial lump-sum payment with reduced annuity	4	T	416	
897	Traditional defined benefit plans: Pre-retirement survivor benefits	3	T	417	
898	Traditional defined benefit plans: Subject to maximum years of credited service	3	T	418	
899	Traditional defined benefit primary plan formula: Dollar times years	3	T	419	
900	Traditional defined benefit primary plan formula: Percent of career earnings	3	T	420	
901	Traditional defined benefit primary plan formula: Percent of employer contribution	3	T	421	
902	Traditional defined benefit primary plan formula: Percent of terminal earnings	3	T	422	
903	Traditional defined benefit single plan sponsor	3	T	423	
904	Traditional defined benefits plans with disability retirement coverage beginning not determinable	4	T	424	
905	Traditional defined benefits plans with disability retirement coverage not determinable	4	T	425	
906	Traditional defined benefits plans with early retirement reductions not determinable	5	T	426	
908	Traditional defined benefits plans with early retirement requirements: Age 55 and 10 or more years of service	4	T	428	
909	Traditional defined benefits plans with early retirement requirements: Age 55 and less than 10 years of service	4	T	429	
910	Traditional defined benefits plans with normal retirement age requirements (10th percentile)	3	T	430	
911	Traditional defined benefits plans with normal retirement age requirements (25th percentile)	3	T	431	
912	Traditional defined benefits plans with normal retirement age requirements (50th percentile-median)	3	T	432	
913	Traditional defined benefits plans with normal retirement age requirements (75th percentile)	3	T	433	
914	Traditional defined benefits plans with normal retirement age requirements (90th percentile)	3	T	434	
915	Traditional defined benefits plans with post-retirement survivor benefits: Other annuity	3	T	435	
916	Traditional defined benefits plans with terminal earnings formulas: Definition not determinable	3	T	436	
917	Traditional defined benefits plans with terminal earnings formulas: High consecutive five year definition	5	T	437	
918	Traditional defined benefits plans with terminal earnings formulas: High five year definition	5	T	438	
919	Traditional defined benefits plans with terminal earnings formulas: Other period definition	4	T	439	
920	Traditional defined benefits plans with terminal earnings formulas: Percent per year varies by earnings	4	T	440	
921	Traditional defined benefits plans with terminal earnings formulas: Percent per year varies by earnings and service	4	T	441	
922	Traditional defined benefits plans with terminal earnings formulas: Percent per year varies by other method	3	T	442	
923	Traditional defined benefits plans with terminal earnings formulas: Percent per year varies by service	4	T	443	
924	Traditional defined benefits plans with terminal earnings formulas: Total five year definition	5	T	444	
925	Traditional defined benefits plans: Lump-sum payment not determinable	3	T	445	
926	Defined benefit plans: State government sponsor	3	T	1	
927	Defined benefit plans: Local government sponsor	3	T	2	
928	Defined benefit plans open to new employees: With minimum age or service requirement	3	T	328	
930	Defined benefit plans open to new employees: With service requirements of 6 months or less	3	T	329	
932	Traditional defined benefit plans with terminal earnings formulas: Total three years	5	T	575	
933	Traditional defined benefit plans with terminal earnings formulas: High consecutive three years	5	T	576	
934	Traditional defined benefit plans with terminal earnings formulas: High three years	5	T	577	
935	Traditional defined benefit plans with terminal earnings formulas: One year	5	T	578	
936	Traditional defined benefit plans with terminal earnings formulas: Other period	5	T	579	
939	Traditional defined benefit plans with normal retirement requirements: Age = 55 and service 30 years or more	3	T	580	
940	Traditional defined benefit plans with normal retirement requirements: Age = 62 and service 10 years of more	3	T	581	
941	Traditional defined benefit plans: Early retirement not available	3	T	582	
942	Traditional defined benefit plans: Early retirement not determinable	3	T	583	
943	Traditional defined benefit plans: Subject to maximum years of credited service not determinable	3	T	584	
944	Traditional defined benefit plans: Pre-retirement survivor benefits not available	3	T	585	
945	Traditional defined benefit plans: Pre-retirement survivor benefits not determinable	3	T	586	
946	Traditional defined benefit plans with normal retirement requirements: Age = 55 and service < 30 years	4	T	587	
947	Traditional defined benefit plans with normal retirement requirements: Age = 62 and service < 10 years	4	T	588	
948	Traditional defined benefit plans with normal retirement requirements: No age requirement and service = 30 years	3	T	589	
949	Traditional defined benefit plans with normal retirement requirements: Age < 62 and service < 10 years	3	T	590	
950	Traditional defined benefit plans with normal retirement requirements: Age < 62 and service 10 or more years	3	T	591	
951	Traditional defined benefit plans with normal retirement requirements: Age < 65 and service < 10 years	3	T	592	
952	Traditional defined benefit plans with normal retirement requirements: Age < 65 and service 10 or more years	3	T	593	
953	Traditional defined benefit plans with early retirement requirements: Age < 55 and service 10 or more years	3	T	594	
955	Traditional defined benefit plans with early retirement requirements: Age = 55 and service 10 or more years	6	T	596	
956	Traditional defined benefit plans with early retirement requirements: Age < 55 and service < 10 years	6	T	597	
957	Traditional defined benefit plans with early retirement requirements: Age = 55 and service < 10 years	6	T	598	
958	Traditional defined benefit plans with early retirement requirements: No minimum age requirement	6	T	599	
959	Traditional defined benefit plans with normal retirement requirements: Median combined age plus service (in years)	3	T	600	
960	Traditional defined benefit plans with normal retirement requirements: Mean combined age plus service (in years)	3	T	601	
A01	Benefit combinations	0	F	1	
A02	Medical care benefit combinations	0	F	8	
A03	Medical care and retirement benefits	1	F	9	
A04	Medical care and life insurance benefits	1	F	14	
A05	Retirement benefit combinations	0	F	19	
A06	Medical care benefits and defined benefit retirement	1	F	20	
A07	Medical care benefits and defined contrib. retirement	1	F	25	
A08	Paid leave combinations	0	F	30	
A09	Illness leave	1	F	31	
A10	Leisure leave options	0	F	36	
B01	Paid vacation days	0	F	1	
B02	Paid vacations: # of annual days by service requirement	1	F	3	
B03	Paid vacation days after one yr	2	F	4	
B04	Paid vacations days by length of service after one yr	3	F	7	
B05	Paid vacation days after five yrs	2	F	14	
B06	Paid vacations days by length of service after five yrs	3	F	17	
B07	Paid vacation days after ten yrs	2	F	24	
B08	Paid vacations days by length of service after ten yrs	3	F	27	
B09	Paid vacation days after twenty yrs	2	F	34	
B10	Paid vacations days by length of service after twenty yrs	3	F	37	
B11	Consolidated leave plans	1	F	44	
B12	Paid days w/ consolidated leave by length of service (Mean # of days)	2	F	46	
B13	Paid vacation days w/out consolidated leave by length of service (Mean # of days)	2	F	52	
C01	Paid holiday plans	0	F	1	
C02	# of holidays provided	1	F	3	
C03	Paid holidays	2	F	6	
D01	Paid sick leave plans	0	F	1	
D02	Type of sick leave provision	1	F	3	
D03	Sick leave carryover provision	3	F	5	
D04	Sick leave limit on days accumulated	6	F	9	
D05	# of days w/ a limit on sick days accumulated	6	F	18	
D06	Paid sick leave: # of annual days by service requirement	1	F	24	
D07	Paid sick leave after one yr	2	F	25	
D08	Paid sick days by length of service after one yr	3	F	28	
D09	Paid sick leave after five yrs	2	F	34	
D10	Paid sick days by length of service after five yrs	3	F	37	
D11	Paid sick leave after ten yrs	2	F	43	
D12	Paid sick days by length of service after ten yrs	3	F	46	
D13	Paid sick leave after twenty yrs	2	F	52	
