case_code	category_code	category_text
R	PJ	Part of body affected-- Wrist
G	PJ	Part of body affected-- Wrist
3	PK	Part of body affected-- Total lower extremities
E	PK	Part of body affected-- Total lower extremities
S	PK	Part of body affected-- Total lower extremities
N	PK	Part of body affected-- Total lower extremities
O	PK	Part of body affected-- Total lower extremities
A	PK	Part of body affected-- Total lower extremities
L	PK	Part of body affected-- Total lower extremities
R	PK	Part of body affected-- Total lower extremities
G	PK	Part of body affected-- Total lower extremities
3	PL	Part of body affected-- Knee
E	PL	Part of body affected-- Knee
S	PL	Part of body affected-- Knee
N	PL	Part of body affected-- Knee
O	PL	Part of body affected-- Knee
A	PL	Part of body affected-- Knee
L	PL	Part of body affected-- Knee
R	PL	Part of body affected-- Knee
G	PL	Part of body affected-- Knee
3	PM	Part of body affected-- Foot, toe
E	PM	Part of body affected-- Foot, toe
S	PM	Part of body affected-- Foot, toe
N	PM	Part of body affected-- Foot, toe
O	PM	Part of body affected-- Foot, toe
A	PM	Part of body affected-- Foot, toe
L	PM	Part of body affected-- Foot, toe
R	PM	Part of body affected-- Foot, toe
G	PM	Part of body affected-- Foot, toe
3	PN	Part of body affected-- Body systems
E	PN	Part of body affected-- Body systems
S	PN	Part of body affected-- Body systems
N	PN	Part of body affected-- Body systems
O	PN	Part of body affected-- Body systems
A	PN	Part of body affected-- Body systems
L	PN	Part of body affected-- Body systems
R	PN	Part of body affected-- Body systems
G	PN	Part of body affected-- Body systems
3	PO	Part of body affected-- Multiple body parts
E	PO	Part of body affected-- Multiple body parts
S	PO	Part of body affected-- Multiple body parts
N	PO	Part of body affected-- Multiple body parts
O	PO	Part of body affected-- Multiple body parts
A	PO	Part of body affected-- Multiple body parts
L	PO	Part of body affected-- Multiple body parts
R	PO	Part of body affected-- Multiple body parts
G	PO	Part of body affected-- Multiple body parts
3	PP	Part of body affected-- All other parts
E	PP	Part of body affected-- All other parts
S	PP	Part of body affected-- All other parts
N	PP	Part of body affected-- All other parts
O	PP	Part of body affected-- All other parts
A	PP	Part of body affected-- All other parts
L	PP	Part of body affected-- All other parts
R	PP	Part of body affected-- All other parts
G	PP	Part of body affected-- All other parts
3	RA	Race-- White, non-Hispanic
E	RA	Race-- White, non-Hispanic
S	RA	Race-- White, non-Hispanic
P	RA	Race-- White, non-Hispanic
N	RA	Race-- White, non-Hispanic
O	RA	Race-- White, non-Hispanic
A	RA	Race-- White, non-Hispanic
L	RA	Race-- White, non-Hispanic
G	RA	Race-- White, non-Hispanic
3	RB	Race-- Black, non-Hispanic
E	RB	Race-- Black, non-Hispanic
S	RB	Race-- Black, non-Hispanic
P	RB	Race-- Black, non-Hispanic
N	RB	Race-- Black, non-Hispanic
O	RB	Race-- Black, non-Hispanic
A	RB	Race-- Black, non-Hispanic
L	RB	Race-- Black, non-Hispanic
G	RB	Race-- Black, non-Hispanic
3	RC	Race-- Hispanic
E	RC	Race-- Hispanic
S	RC	Race-- Hispanic
P	RC	Race-- Hispanic
N	RC	Race-- Hispanic
O	RC	Race-- Hispanic
A	RC	Race-- Hispanic
L	RC	Race-- Hispanic
G	RC	Race-- Hispanic
3	RD	Race-- Asian, Pacific Islander
E	RD	Race-- Asian, Pacific Islander
S	RD	Race-- Asian, Pacific Islander
P	RD	Race-- Asian, Pacific Islander
N	RD	Race-- Asian, Pacific Islander
O	RD	Race-- Asian, Pacific Islander
A	RD	Race-- Asian, Pacific Islander
L	RD	Race-- Asian, Pacific Islander
G	RD	Race-- Asian, Pacific Islander
3	RE	Race-- Native American
E	RE	Race-- Native American
S	RE	Race-- Native American
P	RE	Race-- Native American
N	RE	Race-- Native American
O	RE	Race-- Native American
A	RE	Race-- Native American
L	RE	Race-- Native American
G	RE	Race-- Native American
3	RF	Race-- Not reported
E	RF	Race-- Not reported
S	RF	Race-- Not reported
P	RF	Race-- Not reported
N	RF	Race-- Not reported
O	RF	Race-- Not reported
A	RF	Race-- Not reported
L	RF	Race-- Not reported
G	RF	Race-- Not reported
3	SA	Source of injury-- Chemicals
E	SA	Source of injury-- Chemicals
P	SA	Source of injury-- Chemicals
N	SA	Source of injury-- Chemicals
O	SA	Source of injury-- Chemicals
A	SA	Source of injury-- Chemicals
L	SA	Source of injury-- Chemicals
R	SA	Source of injury-- Chemicals
G	SA	Source of injury-- Chemicals
3	SB	Source of injury-- Containers
E	SB	Source of injury-- Containers
P	SB	Source of injury-- Containers
N	SB	Source of injury-- Containers
O	SB	Source of injury-- Containers
A	SB	Source of injury-- Containers
L	SB	Source of injury-- Containers
R	SB	Source of injury-- Containers
G	SB	Source of injury-- Containers
3	SC	Source of injury-- Furniture
E	SC	Source of injury-- Furniture
P	SC	Source of injury-- Furniture
N	SC	Source of injury-- Furniture
O	SC	Source of injury-- Furniture
A	SC	Source of injury-- Furniture
L	SC	Source of injury-- Furniture
R	SC	Source of injury-- Furniture
G	SC	Source of injury-- Furniture
3	SD	Source of injury-- Machinery
E	SD	Source of injury-- Machinery
P	SD	Source of injury-- Machinery
N	SD	Source of injury-- Machinery
O	SD	Source of injury-- Machinery
A	SD	Source of injury-- Machinery
L	SD	Source of injury-- Machinery
R	SD	Source of injury-- Machinery
G	SD	Source of injury-- Machinery
3	SE	Source of injury-- Parts and materials
E	SE	Source of injury-- Parts and materials
P	SE	Source of injury-- Parts and materials
N	SE	Source of injury-- Parts and materials
O	SE	Source of injury-- Parts and materials
A	SE	Source of injury-- Parts and materials
L	SE	Source of injury-- Parts and materials
R	SE	Source of injury-- Parts and materials
G	SE	Source of injury-- Parts and materials
3	SF	Source of injury-- Worker motion
E	SF	Source of injury-- Worker motion
P	SF	Source of injury-- Worker motion
N	SF	Source of injury-- Worker motion
O	SF	Source of injury-- Worker motion
A	SF	Source of injury-- Worker motion
L	SF	Source of injury-- Worker motion
R	SF	Source of injury-- Worker motion
G	SF	Source of injury-- Worker motion
3	SG	Source of injury-- Floors
E	SG	Source of injury-- Floors
P	SG	Source of injury-- Floors
N	SG	Source of injury-- Floors
O	SG	Source of injury-- Floors
A	SG	Source of injury-- Floors
L	SG	Source of injury-- Floors
R	SG	Source of injury-- Floors
G	SG	Source of injury-- Floors
3	SH	Source of injury-- Hand tools
E	SH	Source of injury-- Hand tools
P	SH	Source of injury-- Hand tools
N	SH	Source of injury-- Hand tools
O	SH	Source of injury-- Hand tools
A	SH	Source of injury-- Hand tools
L	SH	Source of injury-- Hand tools
R	SH	Source of injury-- Hand tools
G	SH	Source of injury-- Hand tools
3	SI	Source of injury-- Vehicles
E	SI	Source of injury-- Vehicles
P	SI	Source of injury-- Vehicles
N	SI	Source of injury-- Vehicles
O	SI	Source of injury-- Vehicles
A	SI	Source of injury-- Vehicles
L	SI	Source of injury-- Vehicles
R	SI	Source of injury-- Vehicles
G	SI	Source of injury-- Vehicles
3	SJ	Source of injury-- Health care patient
E	SJ	Source of injury-- Health care patient
P	SJ	Source of injury-- Health care patient
N	SJ	Source of injury-- Health care patient
O	SJ	Source of injury-- Health care patient
A	SJ	Source of injury-- Health care patient
L	SJ	Source of injury-- Health care patient
R	SJ	Source of injury-- Health care patient
G	SJ	Source of injury-- Health care patient
3	SK	Source of injury-- All other sources
E	SK	Source of injury-- All other sources
P	SK	Source of injury-- All other sources
N	SK	Source of injury-- All other sources
O	SK	Source of injury-- All other sources
A	SK	Source of injury-- All other sources
L	SK	Source of injury-- All other sources
R	SK	Source of injury-- All other sources
